product,size,date,rating,title,text,nickname,helpful_yes,helpful_no,photos,fulfilled_by,seller,syndication_source,review_id
Original,34 lbs,2026-08-24,5,,best cat litter,Lora,0,0,0,Walmart,Walmart.com,,438092377
Original,34 lbs,2026-08-24,5,Catalyst Litter is the BEST!,"Previously wrote positive review for Catalyst litter which remains unchanged.  Positive fragrance, cat tolerance, huge weight difference, way less odor, totally love it. Pickiest male even approves (leaves far less calling cards).  Reason for second part review is I forgot to mention tracking dust.  Yeah, it tracks BUT can't complain at  all because it easily sweeps up AND BEST OF ALL- it doesn't hurt your feet or get stuck in your shoe like hard concrete litters do.",Shirley,0,0,0,Walmart,Walmart.com,,438065414
Original,34 lbs,2026-08-23,1,,I couldn't use it in my auto litter box. so I gave it to a friend. I didn't like it and neither did my cats .,Cheryl,0,0,0,Walmart,Walmart.com,,437979781
Original,34 lbs,2026-08-21,5,,Awesome Stuff!!!!!!,Pandra,0,0,0,Walmart,Walmart.com,,437720657
Original,15 lbs,2026-08-20,5,works great,works perfect for 3 cats.,Jonathan,0,0,0,Walmart,Walmart.com,,437606052
Original,34 lbs,2026-08-20,5,,"I will never use anything else . no dust, no odor, no regular cat litter all over the house.  I wish I knew about this years ago.",VICKIE,0,0,0,Walmart,Walmart.com,,437594115
Original,15 lbs,2026-08-20,5,You gotta try it!,"What a game changer this is compared to sticky, stinky, heavy clay litter. One bag lasted almost two months! Clumps cleanly, doesn't smell and saves money in the long run. I couldn't believe it. Get yours today. You won't be disappointed!",Cynthia,0,0,0,Walmart,Walmart.com,,437531456
Original,34 lbs,2026-08-20,5,,great litter,anonymous,0,0,0,Walmart,Walmart.com,,437508508
Original,34 lbs,2026-08-19,5,Best!!,"Best kitty litter I ever used. You can almost utilize every bit of it before you have to change it out, keeps odor down. I have 22 cats and I highly recommend this.",brenda,0,0,0,Walmart,Walmart.com,,437475553
Original,34 lbs,2026-08-19,5,,I like this product very much.,anonymous,0,0,0,Walmart,Walmart.com,,437442678
Original,15 lbs,2026-08-18,1,stinky and cats rejected it,"First off, when I opened th package I thought it would smell nice like pine, no it was rancid. Then, my cats rejected it and pooped on my floor, when I encouraged one to stand on it he flipped out, then because he had been holding his poop all night he used it but refused to cover it. When the automatic catbox scooped it covered it fine, but just the one poop sitting in the covered holding box stunk up the area way worse than when I use clay litter and it is full. Needless to say, we will not be using this.",anonymous,0,0,0,Walmart,Walmart.com,,437330209
Original,15 lbs,2026-08-17,5,,works great and keeps smell down,anonymous,0,0,0,Walmart,Walmart.com,,437162509
Original,34 lbs,2026-08-16,3,Dusty mess,it does keep the smell and dust down. it's so light that my cats would toss it outside of the litter box and have it all over them after using it. i don't think it clumps as well. especially with urine. Both my cats preferred the arm and hammer litter.,anonymous,0,0,0,Walmart,Walmart.com,,437105410
Unscented,34 lbs,2026-08-16,5,,"I love this litter! less odor, easy to scoop, way better then others I have tried",lrobinett,0,0,0,Walmart,Walmart.com,,437063222
Original,34 lbs,2026-08-16,5,,Good for a multi cat household,anonymous,0,0,0,Walmart,Walmart.com,,437105619
Original,15 lbs,2026-08-15,1,,didt get it,anonymous,0,0,0,Walmart,Walmart.com,,437014527
Original,15 lbs,2026-08-15,5,Cat likes it,Great when I mix it with Pretty Litter.  Otherwise smell is too strong.,Nell,0,0,0,Walmart,Walmart.com,,437002929
Original,15 lbs,2026-08-15,4,I recommend this,I like this item a lot there's no dust and it works good.,anonymous,0,0,0,Walmart,Walmart.com,,436997394
Original,15 lbs,2026-08-15,2,If you like sawdust all over your floor..,"Only had it for 24 hours so I don't know how well it will contain the smell, but the tracking of it is so terrible I don't even care if it hides the smell better than any other litter. It's ALL OVER my house. I have long haired cats and it's seriously everywhere. I have half a bag that's going straight to the garbage can.",Ashley,0,0,0,Walmart,Walmart.com,,436923695
Original,15 lbs,2026-08-14,5,My Tahla' brightest star!,"absolutely the best I have ever used, no smell, always fresh,no dust, one bag 1 kitty a good 3 mos. before another bag , absolutely Love",anonymous,0,0,0,Walmart,Walmart.com,,436905782
Original,15 lbs,2026-08-14,5,You should trust me on this....,"I won't say completely ignore the negative reviews but put a lot of trust in this one, I won't steer you wrong. By far the best litter I've ever used and I've tried a TON. Easy to clean, lasts an incredibly long time, virtually no scent (biggest WIN), it clumps perfectly and the tracking has minimized tremendously. Plus, I know that this is soft on my babies' paws and its good for the planet! I'll never use another litter unless Catalyst themselves come out with something better. SN: I've only purchased from here once to make sure I liked it but PURCHASE DIRECTLY FROM THE SITE. Support the brand directly. Walmart makes enough money.",Sajhana,0,0,0,Walmart,Walmart.com,,436867197
Original,15 lbs,2026-08-14,1,Do not recommend,Very strong odor and my cats track it all over.,Diana,0,0,0,Walmart,Walmart.com,,436804124
Original,34 lbs,2026-08-14,1,,"You get what you pay for. This does not control odor and it's not sift friendly so I don't see how this product ever lasts up to 4 mths. Good for absorbing the humidity in the house, but that's about it.",Moon,0,0,0,Walmart,Walmart.com,,436708310
Original,15 lbs,2026-08-13,4,,It is like sawdust without the dust.  I like it but still undecided about buying it again.  I need to see how Oreo my cat feels about it first.,Michelle,0,0,0,Walmart,Walmart.com,,436605233
Original,15 lbs,2026-08-12,5,,"Love it, clumps and smells great, natural scent",KB,0,0,0,Walmart,Walmart.com,,436442567
Original,15 lbs,2026-08-12,3,Try and See,"Overall I liked this litter, wish my cat did. It's very light and she didn't like to dig in it, and wouldn't bother trying to cover up poops. Clay litter always has a smell to me, no matter how clean. This doesn't have that smell but it has A smell, but it's not as unpleasant to me. Tracking was better as well, but what bits of this I did find were mushy and nasty. My cat tolerated it for a little bit but eventually started relieving herself elsewhere in the house which isn't a pleasant experience. So we switched back to clay, though I do prefer this. Some cats may not be as picky as mine, but I think it's worth trying. Good luck!",Ali,0,0,0,Walmart,Walmart.com,,436304691
Original,15 lbs,2026-08-12,1,Be mindful of this,"Please reconsider this cat litter if you have cats with any pre-existing problems, or at all. I noticed every time my girl came back from using the bathroom she had a white powdery dust all over her face. I noticed a few days ago her breathing becoming louder and then last night she had a sneezing fit that wouldn't stop through the night and by morning she was lethargic and did not look okay. I had to take her to the vet. I'm not saying this litter is the souls reason for pre existing breathing complications, but I do believe it was the CATALYST to why she is in the state she's in. Please be mindful of this litter. Would not recommend.",anonymous,0,0,0,Walmart,Walmart.com,,436284332
Original,15 lbs,2026-08-12,5,Greatest Cat Litter Ever,This is the most awesome cat litter I have ever used!      I absolutely love this stuff‼️‼️‼️,Diane,0,0,0,Walmart,Walmart.com,,436461812
Original,15 lbs,2026-08-11,5,,item is great..only problem is that you don't keep a good supply on the shelf,anonymous,0,0,0,Walmart,Walmart.com,,436273772
Original,15 lbs,2026-08-11,5,Best cat litter ever!,"This litter is easy to scoop, tracts very little, easy to vacuum up and so much better than gritty litters. My adult cat acclimated quickly and odor is less obvious.",Marcia,0,0,0,Walmart,Walmart.com,,436052594
Unscented,34 lbs,2026-08-10,5,,This is the best litter I've ever purchased. Controls odors very well and is extremely lightweight when scooped.,Mike,0,0,0,Walmart,Walmart.com,,435914998
Original,15 lbs,2026-08-10,2,not a favorite,my cat didnt like this and I felt it was messy to scoop,anonymous,0,0,0,Walmart,Walmart.com,,435901366
Unscented,34 lbs,2026-08-10,5,,"Love this natural cat litter, appreciate being able to buy at Walmart. My two cats are very happy with it, no smell and absorbs and clumps well.",sarahlee,0,0,0,Walmart,Walmart.com,,435990890
Original,15 lbs,2026-08-10,5,Catalyst Pet,I have been wanting to try this product and get away from clay litter for my kitten. This pricing is allowing me to get it on subscription. Mouse(my kitten) is getting used to it in her box.,Margaret,0,0,0,Walmart,Walmart.com,,435979436
Original,15 lbs,2026-08-10,5,,"good light weight litter, pleasant smell",anonymous,0,0,0,Walmart,Walmart.com,,436042070
Original,15 lbs,2026-08-10,5,Catalyst litter,"Anyone who has cats should use this product. I was a little skeptical at first but this litter is more economical than the other litter out there. They is no litter box smell, no dust. If you keep out clean the litter will last 30 days where I was buying the other brands every two weeks or more.",Pamela,0,0,0,Walmart,Walmart.com,,435994074
Unscented,15 lbs,2026-08-09,5,,"Low weight, low dust, low tracking, easy to scoop, no pee smell whatsoever, long-lasting, environmentally friendly. What more could you ask for? because it does not climb into cement, it is important to scoop daily.",anonymous,0,0,0,Walmart,Walmart.com,,435838741
Original,15 lbs,2026-08-09,5,,great product,Mary,0,0,0,Walmart,Walmart.com,,435857262
Original,15 lbs,2026-08-08,5,,"The best cat litter Ever!  No dust, no litter tracking, absorbs odors very quickly resulting in no smells",Joyce,0,0,0,Walmart,Walmart.com,,435720439
Original,15 lbs,2026-08-08,5,,Best litter I've ever used,Collin,0,0,0,Walmart,Walmart.com,,435756727
Original,15 lbs,2026-08-08,5,Controls odor,This litter smells nice. It seems easy on paws also. My cats prefer the crystal litter but I wish they used this one more. The natural smell of the litter really controls odor well too.,Cheryl,0,0,0,Walmart,Walmart.com,,435678720
Original,15 lbs,2026-08-08,5,,"best litter so far,",anonymous,0,0,0,Walmart,Walmart.com,,435731357
Original,34 lbs,2026-08-08,5,,This last me 2 full months (34%23) with 2 cats. The odor control is excellent. It doesn't track badly. It makes good clumps  that keeps the litter very clean. I don't smell it in my house at all.,Jeffery,0,0,0,Walmart,Walmart.com,,435753696
Original,15 lbs,2026-08-08,5,,"I have done a lot of testing to find the perfect litter. Finally! This is it, and ends my search!",Peggy,0,0,0,Walmart,Walmart.com,,435739219
Original,34 lbs,2026-08-07,1,,did not cover odor at all,mary,0,0,0,Walmart,Walmart.com,,435596292
Unscented,34 lbs,2026-08-07,5,,The BEST litter ever!,,0,0,0,Walmart,Walmart.com,,435497662
Original,15 lbs,2026-08-07,2,,Tracks everywhere,Travis,0,0,0,Walmart,Walmart.com,,435563832
Original,15 lbs,2026-08-06,1,waste,"all this is, is ver fine saw dust, stinks and has no order control I do not recommend",anonymous,0,0,0,Walmart,Walmart.com,,435431600
Original,15 lbs,2026-08-06,5,,WORKS AS THEY SAID AND LASTS A LONG TIME,Angela,0,0,0,Walmart,Walmart.com,,435471774
Unscented,34 lbs,2026-08-06,4,Good but not great.,I love how it helps with smell but it is still messy and high tracking like other cat litters. I would still recommend due to how much it helps with the odors.,Nicole,0,0,0,Walmart,Walmart.com,,435377044
Original,15 lbs,2026-08-06,5,,If you have a multiple cats this cat litter has worked great for me. It does clean up well and no nasty dust or smell,anonymous,0,0,0,Walmart,Walmart.com,,435436847
Unscented,15 lbs,2026-08-06,5,,Very Good cat litter !!,Cecelia,0,0,0,,Walmart.com,,435449549
Original,15 lbs,2026-08-05,5,Perfect litter!,"I tried this on a whim because of the dust of the other litter I had bought. I will never change now. I love, love, love this litter. It makes it so easy, smells good,  clumping in A . My cat doesn't track it every where. Few things surprise me when I try them on a whim but this lives up to its advertising. Whoever invented it was a genius. I hope the price doesn't go up.",JASON,0,0,0,Walmart,Walmart.com,,435228905
Original,15 lbs,2026-08-05,5,Knocks out Nasty Smells! Has a Fresh Woodsy Scent!,This is the ONLY Litter I am buying for my 2 cats. Finally found one that eliminates  Urine %26 Fecal Smells!! *****5Stars!!  :0)  :0),Kathleen,0,0,0,Walmart,Walmart.com,,435225197
Original,15 lbs,2026-08-05,5,,It works great,mrsk83,0,0,0,Walmart,Walmart.com,,435210088
Unscented,15 lbs,2026-08-05,5,,I have 3 cats and this litter is lasting a month for them. I may not put as much in as you would like but it works for us.,S,0,0,0,Walmart,Walmart.com,,435288007
Original,15 lbs,2026-08-05,5,,Love 💕 it,Pamela,0,0,0,Walmart,Walmart.com,,435276747
Original,15 lbs,2026-08-04,5,,works well,anonymous,0,0,0,Walmart,Walmart.com,,435146971
Original,34 lbs,2026-08-04,5,AMAZING,"Wow!!!!! Of course, I was a little bit skeptical thinking that when cleaning the litter I would be able to smell their poop or urine. But, to my big surprise both my daughter and I were amazed how you cannot smell anything else but the wood chips. Also even with this high here in CA you cannot smell anything. That wasn't the case with the clay clumping litter; the smell was the worst during the heat! Yuck. I am so happy, I decided to buy this product. I am forever a customer. Never going back to clay or crystal litter. Wood Chips are definitely better for the environment and work their magic. Thank you Catalyst.",Edna,0,0,0,Walmart,Walmart.com,,435117828
Original,15 lbs,2026-08-04,3,,Doesn't sift well. Lasts a long time. Stops orders. Is enough for one cat for one month. Still lots of tracking which is why I tried it..,KatD,0,0,0,Walmart,Walmart.com,,435107662
Original,34 lbs,2026-08-03,5,The best,This stuff is absolutely amazing. Smells good clumps urine perfectly to be thrown away.  I'm so impressed doesn't have any of that when you put it in I think I've got that green one. That's the one maybe,Nic,0,0,0,Walmart,Walmart.com,,434985571
Original,15 lbs,2026-08-03,5,,So light weight easy to carry and easy to scoop. Keeps smell down,anonymous,0,0,0,Walmart,Walmart.com,,434962279
Original,34 lbs,2026-08-03,5,Beats silica litter by a mile as far as dust,"I don't think it lasted 4 months, but there is no dust. You'll want to get a good litter catcher though as my cat was tracking this all over. I ended up finding one that was like a step where the litter would drop through as she jumped out. It worked perfectly. This litter is a little different. You'll want a sifter with bigger openings and I find it best to sort of dig the ""clean"" litter towards me to expose the parts to scoop up so there isn't as much to sift. Again, no dust.",Thomas,0,0,0,Walmart,Walmart.com,,435013304
Original,15 lbs,2026-08-03,5,,This is the best cat litter I've ever used!  The smell has disappeared.  You'd never know there's 3 cats in the house. Best decision ever!,Nell,0,0,0,Walmart,Walmart.com,,435033157
Original,15 lbs,2026-08-02,5,,now for this litter wow i thought nobody really understood the smell of a cat until i tryed catalyst cat litter oh wow just try it if u haven't already tryed it,,0,0,0,Walmart,Walmart.com,,434810136
Original,34 lbs,2026-08-02,5,cat litter no smell,"sceptical at first,  very light clumps very good, little wood shavings/dust.  Best of all, no smell.",anonymous,0,0,0,Walmart,Walmart.com,,434861294
Original,15 lbs,2026-08-02,5,,I had tried different litters,Sophia,0,0,0,Walmart,Walmart.com,,434913436
Original,15 lbs,2026-08-02,2,The smell is very barn-esque,"I suppose I should have expected it to smell horrible and like a barn, however, the “smell cover up for 4 weeks” is just overpowered by what smells like your house is now a stable. It's awful.",Kenna,0,0,0,Walmart,Walmart.com,,434901763
Original,15 lbs,2026-08-01,5,,"It does the job good and clumps good when combined with unscented clay litter.  I bought an inexpensive coarse scoop to pick up those clumps.  The pine scent bothers my wife a bit, but it is pine after all.",Melissa,0,0,0,Walmart,Walmart.com,,434711109
Original,34 lbs,2026-08-01,5,Catalyst is my brand for cat litter!,"I'm new to Catalyst litter, and I like it very much so far.  It clumps nicely,  has a nice pine scent and my cats like it too!  I plan to keep using it!  Plus it lasts longer!  I have 3 cats and have used just half the bag so far - I started it early July!",CustomerLiz,0,0,0,Walmart,Walmart.com,,434721253
Unscented,15 lbs,2026-08-01,5,Great product.,Great product. Lasts a long time because you only scoop the clump.,Mayda,0,0,0,Walmart,Walmart.com,,434736174
Original,34 lbs,2026-07-31,5,,It's much lighter in weight than clay litters and the pine scent is pleasant. I have 3 boxes in my basement and you can't tell from the smell. The clumping variety does clump well. I highly recommend the scooper catalyst sells for it.,Jeanne,0,0,0,Walmart,Walmart.com,,434567112
Original,15 lbs,2026-07-31,1,Very disappointed,"I used this product for several days. It was the worst cat litter I have ever gotten room that has my cat items in. It was overwhelmed with dust. Dust on everything on my furniture, and I went to scoop it dust everywhere. It's hard to breathe in the room I packed it all up and threw it in the trash. I thought this would be a great alternative to play later, but I have found something else that does work Arm and Hammer Naturals. Virtually dust, free pleasant smelling AC reclaim absorbs well can't like it. They certainly did not like the other dusty letter. It's gonna take me a couple of days to get all the dust off of everything in that room.",donnadonnaKaya,0,0,0,Walmart,Walmart.com,,434576093
Original,15 lbs,2026-07-30,3,Dust irrigation,"It irritated my cats eyes, they didn't care for it much, they are jerks though lol",Donna,0,0,0,Walmart,Walmart.com,,434486070
Unscented,15 lbs,2026-07-30,5,,This stuff is amazing! All smell is GONE!!,DisappointedinArizona,0,0,0,Walmart,Walmart.com,,434444254
Original,34 lbs,2026-07-30,3,holes in bags,love this product but was disappointed when both bags arrived with holes in them.,anonymous,0,0,0,Walmart,Walmart.com,,434491559
Original,15 lbs,2026-07-30,5,Best cat litter I've ever tried,"I love this cat litter, it is so light, and absorbs the smell so quickly. it is easily tracked on my cats paws, like most cat litter, so I keep a mat in front of the litter box.",Susan,0,0,0,Walmart,Walmart.com,,434483344
Original,15 lbs,2026-07-30,5,,"i have found with 3 cats and 3 enclosed litter boxes that this litter is better, way less odor and easy to scoop. less messes as well.",anonymous,0,0,0,Walmart,Walmart.com,,434464145
Original,34 lbs,2026-07-30,5,,"I tried quite a few litters,but really like this one.Works great controlling odor and plan to use from now on, cleanup was easy",Joyous,0,0,0,Walmart,Walmart.com,,434404945
Original,15 lbs,2026-07-30,5,,"Good consistency.  Furr babies love it so far. Very light wish is a definite plus.  Clumping is good with no loose pieces for liquids. Scent is light.  Odor control length depends on how soon you scoop. At least twice a day for one cat,  three or more for multi cat using same box, is my recommendation, First thing in the morning and twelve hours later seems to do the trick for mine using separate boxes. Price is amazing if it lasts as long as it claims but it's still amazing if it can last as long as the leading brand which for us is about two weeks before needing a refill and three for a complete replacement.",RGVShopper,0,0,0,Walmart,Walmart.com,,434443078
Original,15 lbs,2026-07-30,4,Great buy but not for all cats,"I would recommend this litter for decrease urine odor, less tracking and dust, dealing with clean up was so much easier.  With that being said, my cats did not care for it. They diverted from the box and cried unless it was always perfectly cleaned.  This was a first for us. They are hyper sensitive to smells so this could be another factor.  Unscented is our best option but I liked it. Side note, my cats are 100% indoor. This was something completely new to them",Danielle,0,0,0,Walmart,Walmart.com,,434454010
Original,15 lbs,2026-07-30,5,Make the change!,"Excellent odor absorption, clumping, easy to scoop! Seriously, litter boxes are  odor free now!",anonymous,0,0,0,Walmart,Walmart.com,,434449930
Unscented,15 lbs,2026-07-30,5,Cat litter,"I love that it is all natural for my Briar, it's lighter weight and did I say all natural!! It has got me completely sold, it clumps tighter than tidy cats or any clay litter I've ever used!!!!",wildeyes,0,0,0,Walmart,Walmart.com,,434518614
Original,15 lbs,2026-07-29,1,"not the greatest, very disappointed","this literally gets all over your house and it gets slimy, it got into my cats paws badly caked, i'm very unhappy with this product i will never purchase again",anonymous,0,0,0,Walmart,Walmart.com,,434348055
Unscented,15 lbs,2026-07-28,4,Dianeilu,I think it's great but I do have to add a cat attract for my picky cat to use it.,Dianeilu,0,0,0,,,,434281538
Original,15 lbs,2026-07-28,5,,Love everything about this litter,Rachel,0,0,0,Walmart,Walmart.com,,434178370
Unscented,34 lbs,2026-07-28,1,,Bag arrived in a box with three torn spots and tape on it,JOAN,0,0,0,,,,434245180
Unscented,34 lbs,2026-07-27,5,,"feels odd to pay for sawdust, but I can't argue with the effectiveness of THIS particular sawdust style product.",ZACHARY,0,0,0,Walmart,Walmart.com,,434082811
