store_number,store_name,store_type,street_address,city,state,zip,has_15O,has_34O,has_15U,has_34U,current_sku_count,on_endcap_no_catalyst,endcap_recommended_qty,latitude,longitude
3,COMMERCE GA,Supercenter,30983 HIGHWAY 441 S,COMMERCE,GA,30529,,,,,0,Y,9,34.2134,-83.448
9,SIKESTON MO,Supercenter,1303 S MAIN ST,SIKESTON,MO,63801,Y,,,,1,,9,36.895243596634,-89.594946990979
11,MOUNTAIN HOME AR,Supercenter,65 WALMART DR,MOUNTAIN HOME,AR,72653,Y,,Y,,2,,9,36.357159916331,-92.341257414719
13,CARTHAGE MO,Supercenter,2705 GRAND AVE,CARTHAGE,MO,64836,Y,,,,1,,9,37.141925105079,-94.310564356172
15,WEST PLAINS MO,Supercenter,1310 PREACHER ROE BLVD,WEST PLAINS,MO,65775,Y,,,,1,,9,36.715528102658,-91.87370039355
18,NEWPORT AR,Supercenter,1211 HIGHWAY 367 N,NEWPORT,AR,72112,,,,,0,Y,9,35.5988,-91.2571
20,CLINTON MO,Supercenter,1712 E OHIO ST,CLINTON,MO,64735,Y,,,,1,,9,38.366174724736,-93.751482251352
22,PRYOR OK,Supercenter,4901 S MILL ST,PRYOR,OK,74361,,,,,0,Y,9,36.2921,-95.3129
23,RUSTON LA,Supercenter,1201 N SERVICE RD E,RUSTON,LA,71270,Y,,,,1,,9,32.540758354986,-92.621737057759
25,MEXICO MO,Supercenter,4820 S CLARK ST,MEXICO,MO,65265,Y,,,,1,,9,39.119621400504,-91.893358352265
26,LEAVENWORTH KS,Supercenter,5000 10TH AVE,LEAVENWORTH,KS,66048,Y,Y,,,2,,9,39.269398182467,-94.928059814518
28,MIAMI OK,Supercenter,2415 N MAIN ST,MIAMI,OK,74354,Y,,,Y,2,,9,36.903186533862,-94.877657031957
31,POTEAU OK,Supercenter,3108 N BROADWAY ST,POTEAU,OK,74953,Y,,,,1,,9,35.084494487224,-94.629919509547
33,NASHVILLE AR,Supercenter,1710 S 4TH ST,NASHVILLE,AR,71852,,,,,0,Y,9,33.9576,-93.8707
34,NEVADA MO,Supercenter,2250 LINCOLN AVE,NEVADA,MO,64772,Y,Y,,,2,,9,37.8381108,-94.3596185
35,MANHATTAN KS,Supercenter,101 BLUEMONT AVE,MANHATTAN,KS,66502,Y,,,,1,,9,39.18661082306,-96.558839603961
37,FARMINGTON MO,Supercenter,707 WALTON DR,FARMINGTON,MO,63640,Y,,,,1,,9,37.78822132698,-90.434743501981
38,IDABEL OK,Supercenter,1907 SE WASHINGTON ST,IDABEL,OK,74745,Y,,,,1,,9,33.895580478974,-94.804166442089
39,FORT SCOTT KS,Supercenter,2500 S MAIN ST,FORT SCOTT,KS,66701,,,,,0,Y,9,37.8216,-94.7148
41,BARTLESVILLE OK,Supercenter,4000 SE GREEN COUNTRY RD,BARTLESVILLE,OK,74006,Y,,,,1,,9,36.739505951647,-95.932668805502
42,COFFEYVILLE KS,Supercenter,1863 CR 5300,COFFEYVILLE,KS,67337,Y,,Y,,2,,9,37.0372999,-95.6163634
47,SALLISAW OK,Supercenter,1101 W RUTH AVE,SALLISAW,OK,74955,Y,,,,1,,9,35.4587305,-94.7879436
48,MONETT MO,Supercenter,885 E US HIGHWAY 60,MONETT,MO,65708,Y,,,,1,,9,36.91406185059,-93.914295819521
49,HUGO OK,Supercenter,1911 E JACKSON ST,HUGO,OK,74743,Y,,,,1,,9,34.0106208,-95.513122
50,VINITA OK,Supercenter,268 S 7TH ST,VINITA,OK,74301,Y,Y,,,2,,9,36.6408372,-95.156363
51,FULTON MO,Supercenter,1701 N BLUFF ST,FULTON,MO,65251,Y,,,,1,,9,38.863447306384,-91.943992988699
52,HOT SPRINGS AR,Supercenter,1601 ALBERT PIKE RD,HOT SPRINGS,AR,71913,Y,,,,1,,9,34.493025519821,-93.089454900298
54,SPRINGDALE AR,Supercenter,2004 S PLEASANT ST,SPRINGDALE,AR,72764,Y,,,,1,,9,36.167225631236,-94.143684092897
55,BOONEVILLE AR,Supercenter,1400 EAST MAIN ST,BOONEVILLE,AR,72927,,,,,0,Y,9,35.1364,-93.9274
56,AVA MO,Supercenter,1309 NW 12TH AVE,AVA,MO,65608,,Y,,,1,,9,36.9519236,-92.6600096
57,WALNUT RIDGE AR,Wal-Mart,1600 W MAIN ST,WALNUT RIDGE,AR,72476,,,,,0,Y,9,36.0244,-90.9288
63,WAGONER OK,Supercenter,410 S DEWEY AVE,WAGONER,OK,74467,,,,,0,Y,9,35.9549,-95.354
64,BROWNSVILLE TN,Supercenter,1100 S DUPREE AVE,BROWNSVILLE,TN,38012,Y,,,,1,,9,35.5939671,-89.262291
65,SULLIVAN MO,Supercenter,350 PARK RIDGE RD,SULLIVAN,MO,63080,Y,,,,1,,9,38.221137627635,-91.157828716071
68,WYNNE AR,Supercenter,800 HIGHWAY 64 E,WYNNE,AR,72396,Y,,,,1,,9,35.251492644232,-90.969006275442
70,WEST MEMPHIS AR,Supercenter,798 W SERVICE RD,WEST MEMPHIS,AR,72301,Y,,,,1,,9,35.167468623699,-90.200475338517
71,POCAHONTAS AR,Supercenter,1415 HIGHWAY 67 S,POCAHONTAS,AR,72455,,Y,,,1,,9,36.251579339012,-90.96418771098
72,PITTSBURG KS,Supercenter,2710 N BROADWAY ST,PITTSBURG,KS,66762,Y,,,Y,2,,9,37.433756473996,-94.704844455626
